ADH1,GO:0046872
ADH2,GO:0004022
ADH2,GO:0046872
COB,GO:0046872
DBP9,GO:0033677
PHO4,GO:0043565
PHO4,GO:0043565
PIF1,GO:0003678
PIF1,GO:0003697
PIF1,GO:0010521
PIF1,GO:0010521
PIF1,GO:0051880
PPR1,GO:0000981
PPR1,GO:0008270
PPR1,GO:0043565
ECI1,GO:0003824
HSP104,GO:0016887
HSP104,GO:0016887
HSP104,GO:0016887
CBF1,GO:0061629
TDH2,GO:0004365
TDH3,GO:0004365
TDH2,GO:0016491
AIM14,GO:0016491
AIM14,GO:0016491
CBF1,GO:0061629
DST1,GO:0000993
DST1,GO:0000993
DST1,GO:0001139
PFY1,GO:0003785
PFY1,GO:0003785
PFY1,GO:0005546
PFY1,GO:0005546
PFY1,GO:0070064
PFY1,GO:0070064
PFY1,GO:0070064
COX1,GO:0046872
TDH3,GO:0016491
TDH1,GO:0016491
CBF1,GO:0061629
TDH1,GO:0004365
COX1,GO:0004129
SPP382,GO:0003724
COX2,GO:0046872
SNF5,GO:0061629
SNF5,GO:0061629
SNF5,GO:0061629
SNF5,GO:0061629
PUT2,GO:0003842
PUT2,GO:0003842
RAD2,GO:0000014
RGR1,GO:0061629
ERG12,GO:0004496
BCY1,GO:0004862
BCY1,GO:0004862
IRC3,GO:0036121
SUB2,GO:0003724
GAL11,GO:0061629
SFL1,GO:0061629
COX2,GO:0004129
COX3,GO:0004129
SHS1,GO:0005200
RPS19A,GO:0003735
SHS1,GO:0005200
SHS1,GO:0005200
AAD4,GO:0047681
AAD4,GO:0047681
INO80,GO:0005524
COX5A,GO:0016491
RPS19B,GO:0003735
SEC53,GO:0004615
SES1,GO:0004828
SNF2,GO:0061629
SNF2,GO:0061629
ALG7,GO:0003975
GEX1,GO:0022857
NUT1,GO:0003712
ILV2,GO:0003984
LAM6,GO:0120015
ILV2,GO:0050660
AAD15,GO:0047681
BMH1,GO:0061629
SIN4,GO:0061629
COX5B,GO:0016491
COX6,GO:0016491
COX6,GO:0046872
PET494,GO:0045182
SEC4,GO:0003924
SEC4,GO:0005525
YPR196W,GO:0008270
YPR196W,GO:0008270
YPR196W,GO:0008270
ARD1,GO:0004596
ARD1,GO:0004596
LYS2,GO:0004043
CCP1,GO:0004601
CCP1,GO:0016491
SRB4,GO:0140297
HMI1,GO:0043138
CCP1,GO:0046872
GRX4,GO:0061629
SOD1,GO:0016491
LYS2,GO:0004043
LYS2,GO:0004043
VAS1,GO:0004832
DFR1,GO:0003729
SOD1,GO:0016209
SOD1,GO:0046872
SOD1,GO:0004784
CCP1,GO:0004130
RPC40,GO:0001054
RPC40,GO:0001056
DFR1,GO:0004146
DFR1,GO:0004146
DFR1,GO:0004146
HIS1,GO:0000166
SOD2,GO:0004784
SOD2,GO:0016209
FAL1,GO:0003724
RTG3,GO:0061629
SOD2,GO:0016491
HIS1,GO:0003879
HIS1,GO:0005524
HUL5,GO:0004842
HUL5,GO:0004842
VPS36,GO:0032266
CDC4,GO:0043130
CDC4,GO:0050815
SOD2,GO:0046872
ILV6,GO:1990610
CDC4,GO:0004842
CDC4,GO:0061630
CDC4,GO:0061630
CDC28,GO:0004674
CDC28,GO:0016740
MOD5,GO:0000049
MOD5,GO:0052381
MOD5,GO:0052381
CAR2,GO:0004587
CHS1,GO:0004100
PBS2,GO:0004708
PBS2,GO:0004708
PBS2,GO:0005078
PBS2,GO:0005078
LEO1,GO:0061629
CDC28,GO:0000166
CDC28,GO:0004693
CDC28,GO:0005524
CDC28,GO:0016301
HIS1,GO:0016740
HIS1,GO:0016757
CDC19,GO:0000166
PGK1,GO:0016740
CDC19,GO:0046872
SPL2,GO:0004861
CDC19,GO:0005524
PGK1,GO:0004618
PGK1,GO:0005524
SGA1,GO:0004339
SWI5,GO:0036033
SWI5,GO:0036033
CDC19,GO:0003824
PGK1,GO:0000166
MRM2,GO:0008168
MRM2,GO:0008168
CDC8,GO:0000166
PCL10,GO:0019901
CDC19,GO:0016301
CDC19,GO:0016740
PGK1,GO:0016301
CDC19,GO:0004743
CDC8,GO:0016301
CDC8,GO:0004798
CDC8,GO:0016740
DBP10,GO:0003724
FUM1,GO:0004333
MSF1,GO:0004826
MSF1,GO:0004826
GAL7,GO:0008108
GAL7,GO:0008108
MCD4,GO:0008484
BUD20,GO:0008270
PHO5,GO:0003993
PHO5,GO:0016787
SUC2,GO:0016787
SUC2,GO:0004564
SUC2,GO:0016798
UME6,GO:0140297
UME6,GO:0140297
FHL1,GO:0001222
FHL1,GO:0001223
MEU1,GO:0017061
CDC8,GO:0005524
CAR1,GO:0004053
OSH2,GO:0120015
HIS4,GO:0004399
CAR1,GO:0016787
HIS4,GO:0004635
HIS4,GO:0004636
SPE1,GO:0004586
CHO1,GO:0003882
CHO1,GO:0003882
SPS1,GO:0004672
HIS4,GO:0005524
CAR1,GO:0046872
HIS4,GO:0016491
HIS4,GO:0016787
SNT2,GO:0003682
THI20,GO:0050334
