YJL204C,GO:0006887
YPR104C,GO:0006355
YAL026C,GO:0015914
YML095C,GO:0000710
YML095C,GO:0000735
YML095C,GO:0000736
YML095C,GO:0006277
YML095C,GO:0006312
YGL162W,GO:0000122
YGL162W,GO:0045944
YER171W,GO:0000019
YER171W,GO:0006366
YER171W,GO:0010525
YER171W,GO:0045951
YER171W,GO:0070816
YER161C,GO:0000122
YER161C,GO:0006325
YER161C,GO:0006368
YER161C,GO:0043631
YHL007C,GO:0000122
YDL108W,GO:0010508
YDR392W,GO:0001403
YDR392W,GO:0006325
YDR392W,GO:0006366
YDR392W,GO:0007124
YDR392W,GO:0016573
YOR065W,GO:0006122
YKL182W,GO:0042759
YDR165W,GO:0036265
YLR228C,GO:0045944
YOR036W,GO:0016192
YDR419W,GO:0006281
YDR226W,GO:0006172
YDR226W,GO:0006270
YDR226W,GO:0009117
YIL116W,GO:0000105
YNL121C,GO:0006626
YNL121C,GO:0030150
YNL121C,GO:0045039
YBR249C,GO:0009058
YAL005C,GO:0072671
YPL234C,GO:1902600
YLR378C,GO:0042886
YDR406W,GO:0055085
YKL194C,GO:0070159
YGL234W,GO:0006144
YGR204W,GO:0006760
YGR204W,GO:0009113
YLR021W,GO:0051131
YMR083W,GO:0000947
YMR083W,GO:0006116
YDR216W,GO:0006325
YDR216W,GO:0007031
YDR216W,GO:0061410
YDL102W,GO:0045004
YBR082C,GO:0072671
YJL034W,GO:0070972
YMR286W,GO:0006412
YKL053C-A,GO:0006869
YDR216W,GO:0061425
YDR216W,GO:0061429
YMR042W,GO:0045944
YMR042W,GO:1900079
YMR042W,GO:1900081
YDR173C,GO:0000122
YDR173C,GO:0000821
YDR173C,GO:0016236
YDR173C,GO:0032958
YDR173C,GO:0045944
YDR173C,GO:0046854
YDR173C,GO:0050821
YDR213W,GO:0045944
YPL144W,GO:0051131
YPR009W,GO:0000122
YPR009W,GO:0045944
YGR184C,GO:0072671
YEL020W-A,GO:0015031
YJL209W,GO:0000958
YJL209W,GO:0009060
YBR120C,GO:0034551
YBR120C,GO:0070131
YDL067C,GO:0006123
YBL045C,GO:0009060
YPR191W,GO:0006122
YPR191W,GO:0009060
YOR303W,GO:0006526
YKL159C,GO:0050790
YFR015C,GO:0005978
YJL130C,GO:0006207
YOL022C,GO:0042274
YKR048C,GO:0006607
YJL130C,GO:0006541
YJL130C,GO:0045984
YOL139C,GO:0000184
YOL139C,GO:0006413
YOL139C,GO:0051726
YKR048C,GO:0042274
YIL159W,GO:0030036
YEL046C,GO:0006520
YNL007C,GO:0072671
YPL075W,GO:0000433
YPL075W,GO:0034728
YPL075W,GO:0045944
YPL075W,GO:0060963
YPL075W,GO:0061435
YOL113W,GO:0000122
YPR033C,GO:0006427
YPR033C,GO:0032543
YGL009C,GO:0009098
YBL046W,GO:0050790
YBR133C,GO:0006479
YDL126C,GO:0072671
YIR021W,GO:0000372
YPL154C,GO:0006914
YPL154C,GO:0009267
YPL154C,GO:0016237
YPL154C,GO:0032258
YPL154C,GO:0051603
YDL106C,GO:0006338
YDL106C,GO:0043388
YDL106C,GO:0045937
YDL106C,GO:0045944
YDL106C,GO:2000679
YDR338C,GO:0055085
YOR014W,GO:0050790
YFR034C,GO:0006338
YFR034C,GO:0016036
YFR034C,GO:0045937
YFR034C,GO:0045944
YML061C,GO:0000002
YML061C,GO:0000722
YML061C,GO:0000723
YML061C,GO:0000727
YML061C,GO:0006310
YML061C,GO:0032211
YML061C,GO:0044806
YML061C,GO:0051276
YML061C,GO:0071932
YLR014C,GO:0045944
YLR014C,GO:1900399
YGL043W,GO:0001193
YGL043W,GO:0006362
YGL043W,GO:0006367
YGL043W,GO:0006368
YGL043W,GO:0006383
YGL043W,GO:0031440
YGL043W,GO:0031564
YGL043W,GO:0032968
YGL043W,GO:0042797
YGL043W,GO:0045899
YOR122C,GO:0042989
YBR170C,GO:0072671
Q0045,GO:0006119
YOR122C,GO:0046907
YOR122C,GO:0090338
YHR037W,GO:0006537
YHR037W,GO:0010133
YGR258C,GO:0006366
YMR208W,GO:0006696
YMR208W,GO:0010142
YMR208W,GO:0019287
YIL033C,GO:0045762
YIL033C,GO:0046580
YKL213C,GO:0072671
YGL153W,GO:0016560
YBR093C,GO:0008361
YIL033C,GO:0097271
YOL121C,GO:0002181
YOL121C,GO:0006407
YGL151W,GO:0006357
YOL121C,GO:0042274
YNL302C,GO:0002181
YNL302C,GO:0006407
YNL302C,GO:0042274
YDR023W,GO:0006434
YPR025C,GO:0010508
YDR354W,GO:0000162
YBR243C,GO:0006487
YNL052W,GO:0006119
YER054C,GO:0050790
YBR243C,GO:0009060
YMR108W,GO:0009082
YHR013C,GO:0006474
YHR051W,GO:0006119
YNL201C,GO:0050790
YIL045W,GO:0050790
YGL150C,GO:0006351
YGL150C,GO:0032508
